"match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"2016-09-10","RBLeipzig","Dortmund","Péter Gulácsi","Willi Orban","Lukas Klostermann","Marcel Halstenberg","Marvin Compper","Marcel Sabitzer","Stefan Ilsanker","Dominik Kaiser","Diego Demme","Yussuf Poulsen","Timo Werner","Roman Bürki","Bartra","Sokratis Papastathopoulos","Lukasz Piszczek","Marcel Schmelzer","Mario Götze","Sebastian Rode","Gonzalo Castro","Julian Weigl","Pierre-Emerick Aubameyang","André Schürrle"
"2016-09-11","Mainz","Hoffenheim","Jonas Lössl","Giulio Donati","Leon Balogun","Stefan Bell","Gaëtan Bussmann","Levin Öztunali","Yunus Malli","Fabian Frei","Jean-Philippe Gbamin","Pablo de Blasis","Jhon Córdoba","Oliver Baumann","Ermin Bicakcic","Fabian Schär","Jeremy Toljan","Niklas Süle","Sebastian Rudy","Lukas Rupp","Eugen Polanski","Pirmin Schwegler","Sandro Wagner","Andrej Kramaric"
"2016-09-10","Leverkusen","Hamburg","Bernd Leno","Jonathan Tah","Wendell","Ömer Toprak","Benjamin Henrichs","Lars Bender","Hakan Çalhanoglu","Karim Bellarabi","Kevin Kampl","Javier Hernández","Admir Mehmedi","René Adler","Cléber Reis","Emir Spahic","Matthias Ostrzolek","Gotoku Sakai","Lewis Holtby","Aaron Hunt","Filip Kostic","Nicolai Müller","Bobby Wood","Michael Gregoritsch"
"2016-09-10","Ingolstadt","Hertha","Ørjan Nyland","Tobias Levels","Markus Suttner","Marcel Tisserand","Marvin Matip","Alfredo Morales","Mathew Leckie","Roger","Pascal Groß","Moritz Hartmann","Dario Lezcano","Rune Jarstein","Peter Pekarík","Niklas Stark","Sebastian Langkamp","Marvin Plattenhardt","John Anthony Brooks","Vladimír Darida","Mitchell Weiser","Genki Haraguchi","Fabian Lustenberger","Vedad Ibiševic"
"2016-09-10","Freiburg","M'gladbach","Alexander Schwolow","Çaglar Söyüncü","Manuel Gulde","Pascal Stenzel","Christian Günter","Mike Frantz","Onur Bulut","Nicolas Höfler","Vincenzo Grifo","Florian Niederlechner","Maximilian Philipp","Yann Sommer","Andreas Christensen","Oscar Wendt","Tony Jantschke","Nico Elvedi","Tobias Strobl","Christoph Kramer","Ibrahima Traoré","Thorgan Hazard","Raffael","Lars Stindl"
"2016-09-11","WerderBremen","Augsburg","Felix Wiedwald","Luca Caldirola","Robert Bauer","Clemens Fritz","Theodor Gebre Selassie","Lamine Sané","Zlatko Junuzovic","Fin Bartels","Florian Grillitsch","Aron Jóhannsson","Serge Gnabry","Marwin Hitz","Paul Verhaegh","Kostas Stafylidis","Jeffrey Gouweleeuw","Martin Hinteregger","Daniel Baier","Ja-cheol Koo","Dominik Kohr","Caiuby","Raúl Bobadilla","Alfreð Finnbogason"
"2016-09-16","FCKoln","Freiburg","Timo Horn","Dominique Heintz","Frederik Sørensen","Jonas Hector","Mergim Mavraj","Marco Höger","Marcel Risse","Leonardo Bittencourt","Matthias Lehmann","Yuya Osako","Anthony Modeste","Alexander Schwolow","Çaglar Söyüncü","Manuel Gulde","Pascal Stenzel","Christian Günter","Mike Frantz","Onur Bulut","Nicolas Höfler","Vincenzo Grifo","Florian Niederlechner","Maximilian Philipp"
"2016-09-17","Dortmund","Darmstadt","Roman Bürki","Raphaël Guerreiro","Sokratis Papastathopoulos","Matthias Ginter","Marcel Schmelzer","Gonzalo Castro","Felix Passlack","Julian Weigl","Ousmane Dembélé","Adrián Ramos","Christian Pulisic","Michael Esser","Leon Guwara","Alexander Miloševic","Immanuel Höhn","Florian Jungwirth","Fabian Holland","Mario Vrancic","Peter Niemeyer","Marcel Heller","Änis Ben-Hatira","Sven Schipplock"
"2016-09-17","Hoffenheim","Wolfsburg","Oliver Baumann","Pavel Kaderábek","Ermin Bicakcic","Niklas Süle","Sebastian Rudy","Lukas Rupp","Eugen Polanski","Nadiem Amiri","Sandro Wagner","Mark Uth","Andrej Kramaric","Koen Casteels","Philipp Wollscheid","Jeffrey Bruma","Ricardo Rodríguez","Daniel Caligiuri","Vieirinha","Yannick Gerhardt","Jakub Blaszczykowski","Maximilian Arnold","Julian Draxler","Mario Gomez"
"2016-09-17","M'gladbach","WerderBremen","Yann Sommer","Andreas Christensen","Jannik Vestergaard","Tony Jantschke","Julian Korb","Christoph Kramer","Ibrahima Traoré","Fabian Johnson","Thorgan Hazard","Raffael","Lars Stindl","Jaroslav Drobný","Robert Bauer","Clemens Fritz","Fallou Diagné","Theodor Gebre Selassie","Lamine Sané","Sambou Yatabaré","Zlatko Junuzovic","Ulisses Garcia","Florian Grillitsch","Serge Gnabry"
