Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5
D1;29-9-2002;Nurnberg;Kaiserslautern;1;0;H;0;0;D;2.2;3.25;2.75;2.33;3.27;3.01;2.3;3;2.7;2.2;3.2;2.8;2.25;3.25;2.75;2.25;3.25;2.8;2.2;3.2;2.8;1.7;1.92;;
D1;5-10-2002;Bayern Munich;Bochum;4;1;H;2;0;H;1.286;4.5;8;1.29;4.75;9.5;1.25;4.5;9;1.25;4.5;10;1.29;4.5;8.5;1.286;4.5;9.5;1.25;4.5;10;1.47;2.4;;
D1;5-10-2002;Hannover;Dortmund;0;3;A;0;1;A;3.2;3.2;2;3.21;3.3;2.07;3.2;3.1;2;3;3.2;2.1;3.2;3.1;2.1;3.6;3.2;1.909;3.3;3.1;2;1.7;1.95;;
D1;5-10-2002;Hertha;Nurnberg;2;1;H;0;1;A;1.571;3.5;5;1.56;3.6;5.65;1.5;3.7;5;1.57;3.5;5;1.53;3.5;5.5;1.533;3.5;6;1.53;3.4;5.5;1.7;1.95;;
D1;5-10-2002;Kaiserslautern;Cottbus;4;0;H;1;0;H;1.667;3.25;4.5;1.65;3.4;5;1.5;3.7;5;1.73;3.4;4;1.67;3.4;4.5;1.571;3.4;5.5;1.66;3.3;4.5;1.7;1.95;;
D1;5-10-2002;M'gladbach;Bielefeld;3;0;H;2;0;H;1.8;3.25;3.75;1.76;3.3;4.4;1.7;3.2;4.2;1.73;3.2;4.33;1.73;3.25;4.33;1.7;3.3;4.5;1.72;3.25;4.2;1.7;1.95;;
D1;5-10-2002;Schalke 04;Hamburg;3;0;H;3;0;H;1.571;3.5;5;1.56;3.6;5.65;1.6;3.4;4.6;1.53;3.5;5.5;1.57;3.5;5;1.571;3.5;5.5;1.57;3.3;5.5;1.65;2;;
D1;5-10-2002;Wolfsburg;Leverkusen;2;0;H;1;0;H;2.375;3.1;2.625;2.52;3.25;2.7;2.3;3;2.7;2.38;3.2;2.6;2.5;3.2;2.5;2.5;3.25;2.5;2.6;3.1;2.4;1.65;2;;
D1;6-10-2002;Stuttgart;Munich 1860;4;1;H;0;1;A;2;3.2;3.2;1.97;3.3;3.65;2;3.1;3.2;1.91;3.2;3.5;2;3.2;3.3;2;3.2;3.4;2;3.1;3.3;1.7;1.9;;
D1;6-10-2002;Werder Bremen;Hansa Rostock;0;0;D;0;0;D;1.615;3.25;5;1.68;3.4;5;1.65;3.3;4.4;1.57;3.5;5;1.67;3.4;4.5;1.571;3.4;5.5;1.57;3.5;5;1.65;1.95;;
D1;19-10-2002;Cottbus;Hertha;0;2;A;0;2;A;3;3.2;2.1;3.25;3.15;2.1;3;3.1;2.1;3.2;3.2;2;3.2;3.25;2.05;3.2;3.25;2.05;3;3;2.2;1.7;1.95;;
D1;19-10-2002;Dortmund;Bielefeld;0;0;D;0;0;D;1.3;4.333;8;1.31;4.6;8.5;1.25;4.5;9;1.29;4.33;9;1.3;4.33;8.5;1.3;4.5;9;1.3;4.2;8.5;1.55;2.2;;
